"CommitHash","Date","Message"
"a53e20257db63734ad1c5d8beb31c2ba30b898e5","2025-02-24","fixed formatting for parallel stream"
"7f4c3a0316df49d75f57f47b82fec1d8beabb69c","2025-02-24","getting empty side by side chats"
"116a7b42577b9f785bdd1879976610f2c4a52caf","2025-02-23","added frontend for parallel streaming"
"1d4bf5ed1dab83912f3b8f30049eb0e9150b6918","2025-02-23","added two streams"
"4bfa45147b3889598af66cf93dc27a2c55545770","2025-02-23","working in parallel chat streams"
"9dc681067a0039eb71f880fc451076bdfd1393f3","2025-02-23","starting with parallel stream"
"6883c6be5d0ae3e682db451e191ebf847b9cde68","2025-02-22","created custom endpoint, removed human_feedback as parameter"
"8fc9ec68f04e2c7c052f70c2bdb857d2e895fe10","2025-02-22","sending to different end point"
"867e2d4c53c7a7f1587cc2e29cb73d2b3542f925","2025-02-22","added human feedback to coral store"
"50adace8528f77465837805a151bcaa39ba00e09","2025-02-22","unwatched assistants"
"37baa4590cb7fbcf7942f8691b3258e7d68c3a5f","2025-02-22","switched to coral-web"
"9290af46a09385f8df4a07b44ac9cf6ef1201fe2","2025-02-22","passed the new type"
"c30730ffce9a1a39190a1c4ce1fbf2b54adad715","2025-02-22","adding ts types"
"928b96a7780c8346bebbecc4ecb88d5150377337","2025-02-22","disabled tools, added new endpoint to coral client"
"42b11183be65aaafffb74e917f9d1156c890f6df","2025-02-22","added ab settings to chat hook"
"a93caa462d55c29344f5bd7153dc1eca57f97077","2025-02-21","added human feedback button to settings"
"8f7592f73db1a772ba4b2f41cc0b58d2cb5094f1","2025-02-21","getting response ids for both completions"
"3fb2ea63ee252530ed744b02dfb23d534d44feb9","2025-02-21","getting two responses from customchat"
"1eec7dbdc4df2db7d2a40cc45cb01dba82beefac","2025-02-21","getting two different responses"
"42adfe0d09d762d51be0ef206b4b137a6fde5ad0","2025-02-21","made api call work"
"2f260c0c1cbb3762d5b3413d35b81f15b9ba03c3","2025-02-21","changed to aya model"
"5c1f586132bf7623d0167462c6bb3a24e43bac35","2025-02-21","starting with basic chat flow orchestration"
"fa2f08dfe9b4e589b6ce83853a0c1002d60151e9","2025-02-09","importing my community tool"
"22868ecc258a4586f2124a483e69c4a4265d25df","2025-02-09","making tools visible through default_agent.py"
"24bac32d92bffdb4f633c3bb2ea648e03a60a6fd","2025-02-08","deleted meeting_setup folder"
"9de5a6ba400fe6250c73c45acb7d9176dfeb3d1e","2025-02-08","starting using make file"
"01956b841a4f00ee0078de7bd71edaf617609622","2025-02-07","added meeting_setup tool"
